goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=64-16                       	25885551	        47.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=64-16      	21870146	        61.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=64-16                                	17547306	        66.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=128-16                      	24819732	        48.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=128-16     	23048412	        99.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=128-16                               	13318916	        83.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=256-16                      	14360804	        84.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=256-16     	13960465	       156.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=256-16                               	 4268022	       234.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=16-16                      	25109692	        55.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=16-16     	24921458	        53.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=16-16                               	 3673444	       470.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=32-16                      	24778908	        55.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=32-16     	21170301	        48.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=32-16                               	14210214	       124.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=64-16                      	24673392	        50.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=64-16     	21656337	        68.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=64-16                               	13614681	        84.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=128-16                     	23177977	        53.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=128-16    	16051632	        79.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=128-16                              	 8123553	       127.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=256-16                     	15029413	        94.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=256-16    	12774508	       104.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=256-16                              	 5569730	       181.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=16-16                         	10327750	       129.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=16-16        	30176648	        34.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=16-16                                  	 6134014	       233.7 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=32-16                         	 9447122	       125.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=32-16        	35280146	        35.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=32-16                                  	 5027608	       235.7 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=64-16                         	 9692122	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=64-16        	31147971	        39.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=64-16                                  	 4879418	       245.6 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=128-16                        	 8111881	       140.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=128-16       	30268692	        42.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=128-16                                 	 4612898	       264.8 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=256-16                        	 7639574	       137.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=256-16       	25332194	        47.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=256-16                                 	 4783040	       263.5 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=16-16                        	 8670134	       132.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=16-16       	33487910	        38.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=16-16                                 	 4553760	       255.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=32-16                        	 8767471	       135.9 ns/op	       0 B/op	       0 allocs/op
