goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=64-16        	35141731	        50.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=64-16                                  	33313269	        37.22 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=128-16                        	11290645	       119.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=128-16       	32455982	        36.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=128-16                                 	30623865	        78.98 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=256-16                        	10760607	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=256-16       	27233798	        43.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=256-16                                 	30262648	        40.34 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=16-16                        	10401650	       118.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=16-16       	40209883	        36.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=16-16                                 	34347070	        34.76 ns/op	      71 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=32-16                        	 9719176	       123.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=32-16       	39362379	        57.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=32-16                                 	35949309	        33.80 ns/op	      71 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=64-16                        	 9317092	       130.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=64-16       	38128304	        60.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=64-16                                 	36167163	        34.08 ns/op	      71 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000/keysize=128-16                       	 8892774	       129.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=128-16      	33809996	        36.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000/keysize=128-16                                	36917096	        32.88 ns/op	      71 B/op	       2 allocs/op
